from_location_id,to_location_id,google_distance_km,sectional_tat
53,25,1562.985,187558200
53,12,2456.945,294833400
53,111,2601.887,312226440
53,135,2196.852,263622240
53,171,2660.411,319249319
53,13,1707.716,118800000
53,108,1585.963,190315560
53,14,1776.787,115200000
53,15,385.852,46800000
53,16,2197.798,263735759
53,17,1843.602,221232240
53,18,1213.533,104880000
53,19,588.173,70580760
53,20,2495.803,241200000
53,21,1360.147,163217640
53,22,1746.646,209597520
53,23,1741.75,209010000
53,87,250.478,30057360
53,89,2785.659,334279080
53,90,837.551,100506120
53,91,1648.951,197874120
53,92,2003.974,240476880
53,93,777.047,93245640
53,95,2644.321,317318520
53,96,2157.443,258893160
53,97,2062.343,247481160
53,98,238.277,28593240
53,99,1379.507,165540840
53,103,2804.016,336481919
53,104,2789.603,334752360
53,105,1535.475,184257000
53,110,2897.836,347740320
53,114,1099.343,131921160
53,117,488.186,51540000
53,119,1920.992,230519040
53,121,972.802,116736239
53,124,1518.576,182229120
53,126,1100.351,132042120
53,128,969.815,116377800
53,129,1600.593,192071160
53,131,520.759,62491080
53,133,417.91,50149200
53,159,343.977,30840000
53,195,2982.141,357856919
53,196,2232.801,267936120
53,473,3034.55,364146000
10,50,1155.704,97200000
10,125,1232.663,147919560
10,54,1211.388,145366560
10,153,1234.693,148163160
10,168,1086.458,130374960
10,53,1170.442,140453040
10,10,0,0
10,11,121.695,14400000
10,129,511.962,61435440
10,143,284.662,28800000
10,127,193.163,21600000
10,24,283.486,25200000
10,25,387.313,36000000
10,12,1545.001,136800000
10,111,1602.403,192288359
10,135,1111.518,133382160
10,171,1734.898,208187760
10,13,532.044,46800000
10,108,598.519,71822280
10,14,2108.435,180000000
10,15,914.988,79200000
10,16,2560.047,270000000
10,17,1238.404,100800000
10,18,440.25,52830000
10,19,687.654,61200000
10,20,1863.385,154800000
10,21,864.449,103733880
10,22,2108.895,253067399
10,23,684.396,82127520
10,87,1156.234,138748079
10,89,1860.146,223217520
10,90,1193.524,143222880
10,91,1980.6,151200000
10,92,1701.963,204235559
10,93,1108.695,133043400
10,95,1837.968,220556159
10,96,1557.862,186943440
10,97,1636.528,196383359
10,98,1245.794,149495280
10,99,1715.119,205814279
10,103,1878.502,162000000
10,104,1864.09,223690800
10,105,1620.884,194506080
10,110,1972.323,236678759
10,114,1430.991,171718920
10,117,1195.225,143426999
10,119,1677.416,201289920
10,121,1304.45,156534000
10,124,1149.368,137924160
10,126,634.1,76092000
10,128,295.409,28800000
10,129,511.962,61435440
10,131,941.159,112939080
10,133,1124.949,134993879
10,159,980.479,117657479
10,195,2056.628,129600000
10,196,1147.467,137696040
10,473,2109.037,253084440
11,50,1194.14,143296800
11,125,1308.591,157030920
11,54,1249.823,149978760
11,153,1274.564,152947679
11,168,1124.893,134987160
11,53,1208.878,145065360
11,10,117.208,10800000
11,11,0,0
11,129,393.994,47279280
11,143,369.029,44283480
11,127,277.53,33303599
11,24,165.517,18000000
11,25,269.345,21600000
11,12,1427.033,123120000
11,111,1484.435,178132200
11,135,993.549,119225879
11,171,1616.93,194031600
11,13,414.076,39600000
11,108,480.55,57666000
11,14,2065.716,247885919
11,15,953.424,68400000
11,16,2517.327,302079240
11,17,1120.436,104400000
11,18,362.518,43502160
11,19,726.09,64800000
11,20,1745.417,144000000
11,21,770.164,92419679
11,22,2066.176,247941120
11,23,566.428,51780000
11,87,1194.669,143360280
11,89,1742.177,209061240
11,90,1150.804,138096480
11,91,1674.784,200974080
11,92,1607.679,192921479
11,93,1065.976,127917120
11,95,1720,206400000
11,96,1439.894,172787280
11,97,1765.91,211909200
11,98,1284.229,154107480
11,99,1672.4,200688000
11,103,1760.534,147600000
11,104,1746.121,209534520
11,105,1543.152,185178240
11,110,1854.354,222522480
11,114,1388.272,166592640
11,117,1233.66,148039200
11,119,1583.131,189975720
11,121,1148.188,137782560
11,124,1055.084,126610079
11,126,556.368,66764160
11,128,346.79,32280000
11,129,393.994,47279280
11,131,979.594,117551279
11,133,1163.384,139606080
11,159,1018.915,122269800
11,195,1938.659,232639080
11,196,1029.499,123539880
11,473,1991.068,238928160
129,50,1478.282,177393840
129,125,1626.217,195146040
129,54,1533.965,184075800
129,153,1668.078,200169360
129,168,1409.035,169084200
129,53,1599.43,191931600
129,10,509.765,61171800
129,11,392.5,47100000
129,129,0,0
129,143,761.519,91382279
129,127,670.02,80402400
129,24,230.815,27697800
129,25,173.114,20773680
129,12,1085.911,130309320
129,111,1143.312,137197440
129,135,652.427,78291240
129,171,1275.807,153096840
129,13,115.896,14400000
129,108,190.679,25200000
129,14,1896.374,227564880
129,15,1237.566,148507920
129,16,2646.521,317582520
129,17,654.899,78587880
129,18,444.392,46800000
129,19,1010.231,121227720
129,20,1404.295,168515400
129,21,649.129,64800000
129,22,2195.369,263444280
129,23,197.325,25200000
129,87,1478.811,177457320
129,89,1401.055,168126600
129,90,1279.998,153599760
129,91,1645.892,197507040
129,92,1520.028,182403359
129,93,1195.17,143420400
129,95,1378.877,165465240
129,96,974.357,116922840
129,97,1300.373,156044760
129,98,1568.371,188204520
129,99,1643.668,197240160
129,103,1419.411,170329320
129,104,1404.999,168599880
129,105,1563.422,187610640
129,110,1513.232,181587840
129,114,1359.54,163144800
129,117,1453.541,174424920
129,119,1495.48,179457600
129,121,1228.767,147452040
129,124,967.433,116091959
129,126,636.947,76433640
129,128,720.626,86475120
129,129,0,0
129,131,1178.816,141457920
129,133,1447.526,173703120
129,159,1303.056,156366720
129,195,1597.537,191704440
129,196,688.376,82605120
129,473,1649.946,197993520
143,50,1411.137,169336440
143,50,1411.137,169336440
143,125,1488.095,178571400
143,54,1466.82,176018400
143,153,1490.126,178815120
143,168,1341.89,161026800
143,53,1425.874,171104880
143,10,283.146,25200000
143,11,371.813,44617560
143,129,761.005,91320600
143,143,0,0
143,127,94.628,10800000
143,24,532.528,63903360
143,25,636.356,76362720
143,12,1794.044,215285280
143,111,1851.446,222173520
143,135,1360.56,163267200
143,171,1983.94,238072800
143,13,781.086,93730320
143,108,847.561,101707320
143,14,2389.738,286768560
143,15,1170.421,140450520
143,16,2880.963,345715559
143,17,1487.447,178493640
143,18,705.712,84685440
143,19,943.087,113170440
143,20,2112.428,253491360
143,21,1129.91,135589200
143,22,2429.811,291577320
143,23,933.439,112012680
143,87,1411.666,169399920
143,89,2109.188,253102560
143,90,1520.716,182485920
143,91,2261.903,271428360
143,92,1967.424,236090880
143,93,1389.998,166799759
143,95,2087.01,250441200
143,96,1806.905,216828600
143,97,2132.921,255950520
143,98,1501.226,180147120
143,99,1996.422,239570640
143,103,2127.544,255305280
143,104,2113.132,253575840
143,105,1886.345,226361400
143,110,2221.365,266563799
143,114,1712.294,205475279
143,117,1450.657,174078840
143,119,1942.877,233145240
143,121,1585.753,190290360
143,124,1414.83,169779599
143,126,899.562,107947440
143,128,576.712,69205440
143,129,761.005,91320600
143,131,1196.591,143590920
143,133,1380.381,165645720
143,159,1235.912,148309440
143,195,2305.67,276680400
143,196,1396.51,167581200
143,473,2358.079,282969480
127,50,1374.507,164940840
127,125,1451.466,174175920
127,54,1430.191,171622920
127,153,1453.496,174419520
127,168,1305.26,156631200
127,53,1389.245,166709400
127,10,197.924,18000000
127,11,286.591,34390920
127,129,675.782,81093840
127,143,94.661,10800000
127,127,0,0
127,24,447.306,53676720
127,25,551.133,66135960
127,12,1708.821,205058520
127,111,1766.223,211946760
127,135,1275.338,153040560
127,171,1898.718,227846160
127,13,695.864,83503680
127,108,762.339,91480679
127,14,2304.516,276541920
127,15,1133.791,136054920
127,16,2756.128,330735360
127,17,1402.224,168266880
127,18,620.489,74458680
127,19,906.457,108774840
127,20,2027.205,243264599
127,21,1044.688,125362560
127,22,2304.976,276597120
127,23,848.216,101785920
127,87,1375.037,165004440
127,89,2023.966,242875920
127,90,1389.605,166752600
127,91,2176.681,261201720
127,92,1882.202,225864240
127,93,1304.776,156573120
127,95,2001.788,240214559
127,96,1721.682,206601840
127,97,2047.698,245723759
127,98,1464.597,175751640
127,99,1911.2,229344000
127,103,2042.322,245078640
127,104,2027.91,243349200
127,105,1801.123,216134759
127,110,2136.143,256337160
127,114,1627.072,195248640
127,117,1414.028,169683359
127,119,1857.655,222918600
127,121,1500.531,180063720
127,124,1329.607,159552840
127,126,814.339,97720680
127,128,491.49,58978800
127,129,675.782,81093840
127,131,1159.962,139195440
127,133,1343.752,161250240
127,159,1199.282,143913839
127,195,2220.448,266453760
127,196,1311.287,157354440
127,473,2272.856,272742720
24,50,1337.161,160459320
24,125,1467.918,176150160
24,54,1392.844,167141280
24,153,1417.585,170110200
24,168,1267.914,152149680
24,53,1351.899,162227880
24,10,278.95,25200000
24,11,161.685,18000000
24,129,234.47,28136400
24,143,530.704,63684480
24,127,439.205,52704600
24,24,0,0
24,25,109.821,14400000
24,12,1267.509,111600000
24,111,1324.911,158989320
24,135,834.026,100083120
24,171,1457.406,174888720
24,13,254.552,25200000
24,108,358.677,43041239
